mir,mesh_name,causality,,
hsa-mir-23c,Diabetic Nephropathies,yes,1057,1487
hsa-mir-183,Melanoma,yes,988,1347
hsa-mir-181a,Colorectal Neoplasms,yes,980,1304
hsa-mir-101,"Carcinoma, Non-Small-Cell Lung",yes,879,1312
hsa-mir-34c,Inflammatory Bowel Diseases,yes,1128,1364
hsa-mir-17,Osteonecrosis,yes,977,1626
hsa-mir-29b,Diabetic Retinopathy,yes,1075,1508
hsa-mir-125b,Hepatitis B,yes,914,1556
hsa-mir-200a,"Carcinoma, Hepatocellular",yes,1022,1310
hsa-mir-372,"Carcinoma, Hepatocellular",yes,1137,1310
hsa-mir-200b,Melanoma,yes,1023,1347
hsa-mir-429,Melanoma,yes,1160,1347
hsa-mir-9,"Carcinoma, Hepatocellular",yes,1276,1310
hsa-mir-23b,Endometrial Neoplasms,yes,1056,1362
hsa-mir-150,Lung Injury,yes,965,1627
hsa-let-7,"Leukemia, Myeloid, Acute",yes,861,1366
hsa-mir-195,"Carcinoma, Hepatocellular",yes,1005,1310
hsa-mir-144,Lung Neoplasms,yes,958,1308
hsa-mir-34a,Osteosarcoma,yes,1126,1305
hsa-mir-138,"Carcinoma, Non-Small-Cell Lung",yes,950,1312
hsa-mir-31,Chordoma,yes,1096,1482
hsa-mir-200c,Pulmonary Fibrosis,yes,1024,1601
hsa-mir-195,Wilms Tumor,yes,1005,1331
hsa-mir-125b,Sepsis,yes,914,1558
hsa-mir-124,Glioma,yes,903,1322
hsa-mir-145,"Carcinoma, Non-Small-Cell Lung",yes,959,1312
hsa-mir-181a,"Carcinoma, Skin Appendage",yes,980,1613
hsa-mir-140,Uterine Cervical Neoplasms,yes,954,1300
hsa-mir-26b,Breast Neoplasms,yes,1065,1303
hsa-mir-329,Urinary Bladder Neoplasms,yes,1112,1306
hsa-mir-34c,Osteosarcoma,yes,1128,1305
hsa-mir-34a,Colonic Neoplasms,yes,1126,1336
hsa-mir-125a,"Carcinoma, Hepatocellular",yes,913,1310
hsa-mir-148a,Prostatic Neoplasms,yes,962,1339
hsa-mir-30b,Osteosarcoma,yes,1090,1305
hsa-mir-21,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",yes,1036,1440
hsa-mir-23b,"Carcinoma, Hepatocellular",yes,1056,1310
hsa-mir-382,Ovarian Neoplasms,yes,1149,1309
hsa-mir-873,Lung Neoplasms,yes,1272,1308
hsa-mir-196a,Triple Negative Breast Neoplasms,yes,1006,1398
hsa-mir-223,Lupus Nephritis,yes,1053,1619
hsa-mir-449a,"Carcinoma, Non-Small-Cell Lung",yes,1166,1312
hsa-mir-137,"Carcinoma, Non-Small-Cell Lung",yes,949,1312
hsa-mir-129,Lung Neoplasms,yes,924,1308
hsa-mir-142,Osteosarcoma,yes,956,1305
hsa-mir-124,Myocardial Infarction,yes,903,1388
hsa-mir-610,Multiple Myeloma,yes,1235,1368
hsa-mir-137,"Carcinoma, Renal Cell",yes,949,1324
hsa-mir-324,Alzheimer Disease,yes,1108,1342
hsa-mir-23a,Breast Neoplasms,yes,1055,1303
hsa-mir-302,Pituitary Neoplasms,yes,1083,1369
hsa-mir-372,Pituitary Neoplasms,yes,1137,1369
hsa-mir-373,Pituitary Neoplasms,yes,1138,1369
hsa-mir-132,Glioma,yes,936,1322
hsa-mir-126,Melanoma,yes,917,1347
hsa-mir-140,Multiple Myeloma,yes,954,1368
hsa-mir-22,Sepsis,yes,1050,1558
hsa-mir-181a,Multiple Myeloma,yes,980,1368
hsa-mir-593,Breast Neoplasms,yes,1231,1303
hsa-mir-185,Melanoma,yes,990,1347
hsa-mir-134,Atherosclerosis,yes,942,1376
hsa-mir-214,Glioma,yes,1040,1322
hsa-mir-136,Neuralgia,yes,948,1605
hsa-mir-26a,Stomach Neoplasms,yes,1062,1307
hsa-mir-331,Uterine Cervical Neoplasms,yes,1115,1300
hsa-mir-338,Uterine Cervical Neoplasms,yes,1117,1300
hsa-mir-214,Ovarian Neoplasms,yes,1040,1309
hsa-mir-143,"Carcinoma, Adenoid Cystic",yes,957,1534
hsa-mir-107,Uterine Cervical Neoplasms,yes,891,1300
hsa-mir-1207,Nasopharyngeal Neoplasms,yes,898,1533
hsa-mir-671,"Carcinoma, Hepatocellular",yes,1258,1310
hsa-mir-451,Osteoarthritis,yes,1168,1403
hsa-mir-30a,"Carcinoma, Hepatocellular",yes,1089,1310
hsa-mir-182,Urinary Bladder Neoplasms,yes,987,1306
hsa-mir-675,Cataract,yes,1259,1628
hsa-mir-330,Cardiovascular Diseases,yes,1114,1377
hsa-mir-154,Neuralgia,yes,970,1605
hsa-mir-20b,Reperfusion Injury,yes,1035,1557
hsa-mir-153,Intervertebral Disc Degeneration,yes,967,1335
hsa-mir-372,Testicular Neoplasms,yes,1137,1359
hsa-mir-373,Testicular Neoplasms,yes,1138,1359
hsa-mir-206,Breast Neoplasms,yes,1030,1303
hsa-let-7f-1,Neoplasms,yes,871,1299
hsa-let-7f-2,Neoplasms,yes,872,1299
hsa-mir-124a,Pancreatic Neoplasms,yes,909,1315
hsa-let-7i,Immune System Diseases,yes,874,1570
hsa-mir-145,Colonic Neoplasms,yes,959,1336
hsa-mir-155,Pancreatic Neoplasms,yes,971,1315
hsa-mir-130a,Neoplasms,yes,934,1299
hsa-mir-27a,Breast Neoplasms,yes,1066,1303
hsa-mir-378,Neoplasms,yes,1145,1299
hsa-mir-224,"Carcinoma, Hepatocellular",yes,1054,1310
hsa-let-7b,Melanoma,yes,866,1347
hsa-mir-17,Neuroblastoma,yes,977,1302
hsa-mir-34a,Neuroblastoma,yes,1126,1302
hsa-mir-20a,Leukemia,yes,1034,1385
hsa-mir-124-1,Medulloblastoma,yes,904,1367
hsa-mir-124-2,Medulloblastoma,yes,905,1367
hsa-mir-124-3,Medulloblastoma,yes,906,1367
hsa-mir-196b,Neoplasms,yes,1009,1299
hsa-let-7a-1,Melanoma,yes,863,1347
hsa-let-7a-2,Melanoma,yes,864,1347
hsa-let-7a-3,Melanoma,yes,865,1347
hsa-mir-20a,Breast Neoplasms,yes,1034,1303
hsa-mir-125b,Medulloblastoma,yes,914,1367
hsa-mir-324,Medulloblastoma,yes,1108,1367
hsa-mir-326,Medulloblastoma,yes,1110,1367
hsa-mir-155,Breast Neoplasms,yes,971,1303
hsa-mir-128,Glioma,yes,921,1322
hsa-mir-16-2,Prostatic Neoplasms,yes,976,1339
hsa-mir-15a,Polycystic Kidney Diseases,yes,972,1629
hsa-mir-296,Brain Neoplasms,yes,1070,1405
hsa-mir-223,Leukemia,yes,1053,1385
hsa-mir-221,Aneurysm,yes,1051,1572
hsa-mir-106b,"Leukemia, Lymphocytic, Chronic, B-Cell",yes,890,1401
hsa-mir-1-1,"Arrhythmias, Cardiac",yes,876,1630
hsa-mir-1-2,"Arrhythmias, Cardiac",yes,877,1630
hsa-mir-101-1,"Carcinoma, Hepatocellular",yes,880,1310
hsa-mir-101-2,"Carcinoma, Hepatocellular",yes,881,1310
hsa-mir-143,Colorectal Neoplasms,yes,957,1304
hsa-mir-106b,Stomach Neoplasms,yes,890,1307
hsa-mir-221,Stomach Neoplasms,yes,1051,1307
hsa-mir-25,Stomach Neoplasms,yes,1061,1307
hsa-mir-141,Neoplasms,yes,955,1299
hsa-mir-429,Neoplasms,yes,1160,1299
hsa-mir-1-1,Cardiomegaly,yes,876,1370
hsa-mir-1-2,Cardiomegaly,yes,877,1370
hsa-mir-182,Melanoma,yes,987,1347
hsa-mir-30e,Neoplasms,yes,1095,1299
hsa-mir-101-1,Urinary Bladder Neoplasms,yes,880,1306
hsa-mir-101-2,Urinary Bladder Neoplasms,yes,881,1306
hsa-mir-221,Marek Disease,yes,1051,1452
hsa-mir-222,Marek Disease,yes,1052,1452
hsa-mir-146b,Glioma,yes,961,1322
hsa-mir-21,Prostatic Neoplasms,yes,1036,1339
hsa-mir-21,"Cardiomyopathy, Hypertrophic",yes,1036,1341
hsa-mir-16,Multiple Myeloma,yes,974,1368
hsa-mir-106b,Barrett Esophagus,yes,890,1631
hsa-mir-25,Barrett Esophagus,yes,1061,1631
hsa-mir-93,Barrett Esophagus,yes,1286,1631
hsa-mir-221,Glioma,yes,1051,1322
hsa-mir-222,Glioma,yes,1052,1322
hsa-mir-143,Hepatoblastoma,yes,957,1402
hsa-mir-21,HIV Infections,yes,1036,1632
hsa-mir-331,Neoplasms,yes,1115,1299
hsa-mir-200b,Breast Neoplasms,yes,1023,1303
hsa-mir-17,Glioblastoma,yes,977,1301
hsa-mir-193b,Breast Neoplasms,yes,1001,1303
hsa-mir-9,Ovarian Neoplasms,yes,1276,1309
hsa-mir-1-1,Rhabdomyosarcoma,yes,876,1515
hsa-mir-1-2,Rhabdomyosarcoma,yes,877,1515
hsa-mir-15a,Arthritis,yes,972,1606
hsa-mir-15a,"Arthritis, Psoriatic",yes,972,1633
hsa-mir-206,Neoplasms,yes,1030,1299
hsa-mir-34a,Glioblastoma,yes,1126,1301
hsa-mir-214,Uterine Cervical Neoplasms,yes,1040,1300
hsa-mir-125a,Breast Neoplasms,yes,913,1303
hsa-mir-17,Inflammation,yes,977,1564
hsa-mir-31,Inflammation,yes,1096,1564
hsa-mir-181b,"Carcinoma, Hepatocellular",yes,982,1310
hsa-mir-491,Colorectal Neoplasms,yes,1182,1304
hsa-mir-497,Brain Ischemia,yes,1187,1578
hsa-mir-27a,Obesity,yes,1066,1357
hsa-mir-24,Gastrointestinal Neoplasms,yes,1058,1346
hsa-mir-150,Stomach Neoplasms,yes,965,1307
hsa-mir-18a,Neuroblastoma,yes,994,1302
hsa-mir-223,"Diabetes Mellitus, Type 2",yes,1053,1399
hsa-mir-9-1,Stomach Neoplasms,yes,1277,1307
hsa-mir-9-2,Stomach Neoplasms,yes,1278,1307
hsa-mir-9-3,Stomach Neoplasms,yes,1279,1307
hsa-mir-148a,Cholangiocarcinoma,yes,962,1326
hsa-mir-152,Cholangiocarcinoma,yes,966,1326
hsa-mir-130b,Stomach Neoplasms,yes,935,1307
hsa-mir-133a,Cardiomegaly,yes,938,1370
hsa-mir-133b,Cardiomegaly,yes,941,1370
hsa-mir-146a,HIV Infections,yes,960,1632
hsa-mir-375,Liver Neoplasms,yes,1141,1313
hsa-mir-138-1,Neoplasms,yes,951,1299
hsa-mir-138-2,Neoplasms,yes,952,1299
hsa-mir-218-1,Stomach Neoplasms,yes,1047,1307
hsa-mir-218-2,Stomach Neoplasms,yes,1048,1307
hsa-mir-193b,Melanoma,yes,1001,1347
hsa-mir-107,Neoplasms,yes,891,1299
hsa-let-7f-1,Ovarian Neoplasms,yes,871,1309
hsa-let-7f-2,Ovarian Neoplasms,yes,872,1309
hsa-mir-224,Ovarian Neoplasms,yes,1054,1309
hsa-mir-516a-1,Ovarian Neoplasms,yes,1205,1309
hsa-mir-516a-2,Ovarian Neoplasms,yes,1206,1309
hsa-mir-602,"Carcinoma, Hepatocellular",yes,1233,1310
hsa-mir-602,Hepatitis B,yes,1233,1556
hsa-mir-101,Alzheimer Disease,yes,879,1342
hsa-mir-129,Colorectal Neoplasms,yes,924,1304
hsa-mir-17,"Leukemia, Myeloid, Acute",yes,977,1366
hsa-mir-18a,Leukemia,yes,994,1385
hsa-mir-18a,"Leukemia, Myeloid, Acute",yes,994,1366
hsa-mir-19a,Leukemia,yes,1017,1385
hsa-mir-19a,"Leukemia, Myeloid, Acute",yes,1017,1366
hsa-mir-19b-1,Leukemia,yes,1019,1385
hsa-mir-19b-1,"Leukemia, Myeloid, Acute",yes,1019,1366
hsa-mir-19b-2,Leukemia,yes,1020,1385
hsa-mir-19b-2,"Leukemia, Myeloid, Acute",yes,1020,1366
hsa-mir-20a,"Leukemia, Myeloid, Acute",yes,1034,1366
hsa-mir-92a-1,"Leukemia, Myeloid, Acute",yes,1283,1366
hsa-mir-92a-2,"Leukemia, Myeloid, Acute",yes,1284,1366
hsa-mir-182,Lung Neoplasms,yes,987,1308
hsa-mir-155,Pre-Eclampsia,yes,971,1459
hsa-mir-20a,Ovarian Neoplasms,yes,1034,1309
hsa-mir-146a,Heart Failure,yes,960,1318
hsa-mir-331,Stomach Neoplasms,yes,1115,1307
hsa-mir-375,Stomach Neoplasms,yes,1141,1307
hsa-mir-155,Cardiovascular Diseases,yes,971,1377
hsa-mir-23b,Kidney Neoplasms,yes,1056,1418
hsa-mir-22,Neoplasms,yes,1050,1299
hsa-mir-185,Neoplasms,yes,990,1299
hsa-mir-96,Pancreatic Neoplasms,yes,1294,1315
hsa-mir-149,Neoplasms,yes,964,1299
hsa-mir-10a,Atherosclerosis,yes,892,1376
hsa-mir-148a,Melanoma,yes,962,1347
hsa-mir-326,Glioma,yes,1110,1322
hsa-mir-217,Pancreatic Neoplasms,yes,1045,1315
hsa-mir-146a,"Carcinoma, Renal Cell",yes,960,1324
hsa-mir-101-2,Stomach Neoplasms,yes,881,1307
hsa-mir-125a,"Carcinoma, Non-Small-Cell Lung",yes,913,1312
hsa-mir-221,Glioblastoma,yes,1051,1301
hsa-mir-222,Glioblastoma,yes,1052,1301
hsa-mir-494,Ischemia,yes,1185,1575
hsa-mir-494,Reperfusion Injury,yes,1185,1557
hsa-mir-1,Urinary Bladder Neoplasms,yes,875,1306
hsa-mir-133a,Urinary Bladder Neoplasms,yes,938,1306
hsa-mir-18,Neoplasms,yes,978,1299
hsa-mir-20a,Neoplasms,yes,1034,1299
hsa-mir-92-1,Neoplasms,yes,1280,1299
hsa-mir-125b,Neoplasms,yes,914,1299
hsa-mir-25,Neoplasms,yes,1061,1299
hsa-mir-30d,Neoplasms,yes,1094,1299
hsa-mir-504,Neoplasms,yes,1196,1299
hsa-mir-93,Glioblastoma,yes,1286,1301
hsa-mir-31,Endometrial Neoplasms,yes,1096,1362
hsa-mir-107,Gastrointestinal Neoplasms,yes,891,1346
hsa-mir-101,Immune System Diseases,yes,879,1570
hsa-mir-211,Melanoma,yes,1038,1347
hsa-mir-196a,Melanoma,yes,1006,1347
hsa-mir-128-1,Neuroblastoma,yes,922,1302
hsa-mir-128-2,Neuroblastoma,yes,923,1302
hsa-mir-21,Dementia,yes,1036,1634
hsa-mir-593,Esophageal Neoplasms,yes,1231,1351
hsa-mir-185,Colorectal Neoplasms,yes,990,1304
hsa-mir-26a-1,Nasopharyngeal Neoplasms,yes,1063,1533
hsa-mir-26a-2,Nasopharyngeal Neoplasms,yes,1064,1533
hsa-mir-96,Breast Neoplasms,yes,1294,1303
hsa-mir-203,Urinary Bladder Neoplasms,yes,1026,1306
hsa-mir-31,"Muscular Dystrophy, Duchenne",yes,1096,1408
hsa-mir-214,Urinary Bladder Neoplasms,yes,1040,1306
hsa-mir-616,Prostatic Neoplasms,yes,1239,1339
hsa-mir-200b,Prostatic Neoplasms,yes,1023,1339
hsa-mir-200c,Prostatic Neoplasms,yes,1024,1339
hsa-mir-885,Neuroblastoma,yes,1275,1302
hsa-mir-26b,Glioma,yes,1065,1322
hsa-mir-19a,Esophageal Neoplasms,yes,1017,1351
hsa-mir-381,"Mastocytosis, Systemic",yes,1148,1635
hsa-mir-539,"Mastocytosis, Systemic",yes,1217,1635
hsa-mir-29a,Inflammation,yes,1074,1564
hsa-mir-221,Colorectal Neoplasms,yes,1051,1304
hsa-mir-101,Glioblastoma,yes,879,1301
hsa-mir-203,Esophageal Neoplasms,yes,1026,1351
hsa-mir-1-1,Urinary Bladder Neoplasms,yes,876,1306
hsa-mir-1-2,Urinary Bladder Neoplasms,yes,877,1306
hsa-mir-133a-1,Urinary Bladder Neoplasms,yes,939,1306
hsa-mir-133a-2,Urinary Bladder Neoplasms,yes,940,1306
hsa-mir-126,Gastrointestinal Neoplasms,yes,917,1346
hsa-mir-155,Inflammation,yes,971,1564
hsa-mir-222,Inflammation,yes,1052,1564
hsa-mir-29c,Diabetes Mellitus,yes,1078,1379
hsa-mir-132,Pancreatic Neoplasms,yes,936,1315
hsa-mir-212,Pancreatic Neoplasms,yes,1039,1315
hsa-mir-520b,Breast Neoplasms,yes,1211,1303
hsa-let-7a-1,Gastrointestinal Neoplasms,yes,863,1346
hsa-let-7a-2,Gastrointestinal Neoplasms,yes,864,1346
hsa-let-7a-3,Gastrointestinal Neoplasms,yes,865,1346
hsa-mir-451a,"Carcinoma, Non-Small-Cell Lung",yes,1169,1312
hsa-mir-16-1,Laryngeal Neoplasms,yes,975,1415
hsa-mir-16-2,Laryngeal Neoplasms,yes,976,1415
hsa-mir-145,"Carcinoma, Endometrioid",yes,959,1636
hsa-mir-21,Pancreatic Neoplasms,yes,1036,1315
hsa-mir-1-1,Head and Neck Neoplasms,yes,876,1614
hsa-mir-1-2,Head and Neck Neoplasms,yes,877,1614
hsa-mir-218-1,Nasopharyngeal Neoplasms,yes,1047,1533
hsa-mir-218-2,Nasopharyngeal Neoplasms,yes,1048,1533
hsa-mir-204,Endometrial Neoplasms,yes,1028,1362
hsa-mir-125b-1,Psoriasis,yes,915,1467
hsa-mir-125b-2,Psoriasis,yes,916,1467
hsa-mir-204,Stomach Neoplasms,yes,1028,1307
hsa-mir-10b,Glioblastoma,yes,893,1301
hsa-mir-205,Esophageal Neoplasms,yes,1029,1351
hsa-mir-95,Colorectal Neoplasms,yes,1293,1304
hsa-mir-125b-2,Breast Neoplasms,yes,916,1303
hsa-mir-148a,Colorectal Neoplasms,yes,962,1304
hsa-mir-24-2,Breast Neoplasms,yes,1060,1303
hsa-mir-373,"Carcinoma, Hepatocellular",yes,1138,1310
hsa-mir-223,"Carcinoma, Hepatocellular",yes,1053,1310
hsa-mir-519d,"Carcinoma, Hepatocellular",yes,1209,1310
hsa-mir-622,Stomach Neoplasms,yes,1240,1307
hsa-mir-200a,Ovarian Neoplasms,yes,1022,1309
hsa-let-7f-1,Stomach Neoplasms,yes,871,1307
hsa-let-7f-2,Stomach Neoplasms,yes,872,1307
hsa-mir-29c,Esophageal Neoplasms,yes,1078,1351
hsa-mir-342,Colorectal Neoplasms,yes,1123,1304
hsa-mir-29a,"Carcinoma, Hepatocellular",yes,1074,1310
hsa-mir-150,Inflammatory Bowel Diseases,yes,965,1364
hsa-mir-375,Prostatic Neoplasms,yes,1141,1339
hsa-mir-21,"Lupus Erythematosus, Systemic",yes,1036,1501
hsa-mir-372,Hepatitis B,yes,1137,1556
hsa-mir-373,Hepatitis B,yes,1138,1556
hsa-mir-146a,Lymphoma,yes,960,1417
hsa-let-7a-1,Inflammation,yes,863,1564
hsa-let-7a-2,Inflammation,yes,864,1564
hsa-let-7a-3,Inflammation,yes,865,1564
hsa-let-7b,Inflammation,yes,866,1564
hsa-let-7c,Inflammation,yes,867,1564
hsa-let-7d,Inflammation,yes,868,1564
hsa-let-7e,Inflammation,yes,869,1564
hsa-let-7f-1,Inflammation,yes,871,1564
hsa-let-7f-2,Inflammation,yes,872,1564
hsa-let-7g,Inflammation,yes,873,1564
hsa-let-7i,Inflammation,yes,874,1564
hsa-mir-335,Breast Neoplasms,yes,1116,1303
hsa-mir-195,Cardiovascular Diseases,yes,1005,1377
hsa-mir-143,Pancreatic Neoplasms,yes,957,1315
hsa-mir-145,Pancreatic Neoplasms,yes,959,1315
hsa-mir-29b-1,"Carcinoma, Hepatocellular",yes,1076,1310
hsa-mir-29b-2,"Carcinoma, Hepatocellular",yes,1077,1310
hsa-mir-29c,"Carcinoma, Hepatocellular",yes,1078,1310
hsa-mir-223,Stomach Neoplasms,yes,1053,1307
hsa-mir-100,Urinary Bladder Neoplasms,yes,878,1306
hsa-mir-21,Inflammation,yes,1036,1564
hsa-mir-100,"Leukemia, Myeloid, Acute",yes,878,1366
hsa-mir-106a,Glioblastoma,yes,889,1301
hsa-mir-198,"Carcinoma, Hepatocellular",yes,1011,1310
hsa-mir-338,"Carcinoma, Hepatocellular",yes,1117,1310
hsa-mir-124-1,"Carcinoma, Hepatocellular",yes,904,1310
hsa-mir-124-2,"Carcinoma, Hepatocellular",yes,905,1310
hsa-mir-124-3,"Carcinoma, Hepatocellular",yes,906,1310
hsa-mir-9-1,Cardiovascular Diseases,yes,1277,1377
hsa-mir-9-2,Cardiovascular Diseases,yes,1278,1377
hsa-mir-9-3,Cardiovascular Diseases,yes,1279,1377
hsa-mir-99a,Psoriasis,yes,1296,1467
hsa-mir-214,Stomach Neoplasms,yes,1040,1307
hsa-mir-130a,"Carcinoma, Non-Small-Cell Lung",yes,934,1312
hsa-mir-222,"Carcinoma, Non-Small-Cell Lung",yes,1052,1312
hsa-mir-155,Intervertebral Disc Degeneration,yes,971,1335
hsa-mir-148a,Pancreatic Neoplasms,yes,962,1315
hsa-mir-488,Prostatic Neoplasms,yes,1179,1339
hsa-mir-302a,Glioblastoma,yes,1084,1301
hsa-mir-302b,Glioblastoma,yes,1085,1301
hsa-mir-302c,Glioblastoma,yes,1086,1301
hsa-mir-302d,Glioblastoma,yes,1087,1301
hsa-mir-367,Glioblastoma,yes,1134,1301
hsa-mir-193b,"Leukemia, Myeloid, Acute",yes,1001,1366
hsa-mir-187,Ovarian Neoplasms,yes,992,1309
hsa-mir-15b,Tongue Neoplasms,yes,973,1353
hsa-mir-200b,Tongue Neoplasms,yes,1023,1353
hsa-mir-206,Myocardial Infarction,yes,1030,1388
hsa-mir-7-1,"Carcinoma, Non-Small-Cell Lung",yes,1262,1312
hsa-mir-7-2,"Carcinoma, Non-Small-Cell Lung",yes,1263,1312
hsa-mir-7-3,"Carcinoma, Non-Small-Cell Lung",yes,1264,1312
hsa-mir-1-1,Thyroid Neoplasms,yes,876,1330
hsa-mir-1-2,Thyroid Neoplasms,yes,877,1330
hsa-mir-106a,Breast Neoplasms,yes,889,1303
hsa-mir-93,Breast Neoplasms,yes,1286,1303
hsa-mir-133a-1,Hypertension,yes,939,1383
hsa-mir-133a-2,Hypertension,yes,940,1383
hsa-mir-125a,Lung Neoplasms,yes,913,1308
hsa-mir-143,Urinary Bladder Neoplasms,yes,957,1306
hsa-mir-491,Hepatitis C,yes,1182,1472
hsa-mir-199a-1,Urinary Bladder Neoplasms,yes,1014,1306
hsa-mir-199a-2,Urinary Bladder Neoplasms,yes,1015,1306
hsa-mir-106b,Laryngeal Neoplasms,yes,890,1415
hsa-mir-21,"Carcinoma, Renal Cell",yes,1036,1324
hsa-mir-335,Stomach Neoplasms,yes,1116,1307
hsa-mir-146b,Pancreatic Neoplasms,yes,961,1315
hsa-mir-451a,Diabetic Nephropathies,yes,1169,1487
hsa-let-7e,Reperfusion Injury,yes,869,1557
hsa-mir-144,"Diabetes Mellitus, Type 2",yes,958,1399
hsa-mir-194-1,Endometrial Neoplasms,yes,1003,1362
hsa-mir-194-2,Endometrial Neoplasms,yes,1004,1362
hsa-let-7a-1,"Sarcoma, Ewing",yes,863,1419
hsa-let-7a-2,"Sarcoma, Ewing",yes,864,1419
hsa-let-7a-3,"Sarcoma, Ewing",yes,865,1419
hsa-mir-9-1,Glioblastoma,yes,1277,1301
hsa-mir-9-2,Glioblastoma,yes,1278,1301
hsa-mir-9-3,Glioblastoma,yes,1279,1301
hsa-mir-542,Neoplasms,yes,1218,1299
hsa-mir-140,Osteoarthritis,yes,954,1403
hsa-mir-146b,Thyroid Neoplasms,yes,961,1330
hsa-mir-216b,Nasopharyngeal Neoplasms,yes,1044,1533
hsa-mir-423,"Carcinoma, Hepatocellular",yes,1157,1310
hsa-mir-373,Fibrosarcoma,yes,1138,1491
hsa-mir-520c,Fibrosarcoma,yes,1212,1491
hsa-mir-26b,Lung Neoplasms,yes,1065,1308
hsa-mir-1-1,Laryngeal Neoplasms,yes,876,1415
hsa-mir-1-2,Laryngeal Neoplasms,yes,877,1415
hsa-mir-23a,Muscular Dystrophies,yes,1055,1637
hsa-mir-34a,Medulloblastoma,yes,1126,1367
hsa-mir-499a,Colorectal Neoplasms,yes,1190,1304
hsa-mir-375,Urinary Bladder Neoplasms,yes,1141,1306
hsa-mir-191,Stomach Neoplasms,yes,997,1307
hsa-mir-29b-1,Multiple Myeloma,yes,1076,1368
hsa-mir-191,Thyroid Neoplasms,yes,997,1330
hsa-mir-93,Osteosarcoma,yes,1286,1305
hsa-mir-125b-1,Endometrial Neoplasms,yes,915,1362
hsa-mir-125b-2,Endometrial Neoplasms,yes,916,1362
hsa-mir-142,"Leukemia-Lymphoma, Adult T-Cell",yes,956,1483
hsa-mir-150,Pancreatic Neoplasms,yes,965,1315
hsa-mir-181a-2,Ischemia,yes,981,1575
hsa-mir-199a-1,Endometriosis,yes,1014,1380
hsa-mir-199a-2,Endometriosis,yes,1015,1380
hsa-mir-21,Urinary Bladder Neoplasms,yes,1036,1306
hsa-let-7a-1,Endometrial Neoplasms,yes,863,1362
hsa-let-7a-2,Endometrial Neoplasms,yes,864,1362
hsa-let-7a-3,Endometrial Neoplasms,yes,865,1362
hsa-let-7b,Endometrial Neoplasms,yes,866,1362
hsa-let-7c,Endometrial Neoplasms,yes,867,1362
hsa-let-7d,Endometrial Neoplasms,yes,868,1362
hsa-let-7e,Endometrial Neoplasms,yes,869,1362
hsa-let-7f-1,Endometrial Neoplasms,yes,871,1362
hsa-let-7f-2,Endometrial Neoplasms,yes,872,1362
hsa-let-7g,Endometrial Neoplasms,yes,873,1362
hsa-let-7i,Endometrial Neoplasms,yes,874,1362
hsa-mir-200c,Endometrial Neoplasms,yes,1024,1362
hsa-mir-148b,Colorectal Neoplasms,yes,963,1304
hsa-mir-146a,Stomach Neoplasms,yes,960,1307
hsa-mir-30c-1,Ovarian Neoplasms,yes,1092,1309
hsa-mir-30c-2,Ovarian Neoplasms,yes,1093,1309
hsa-mir-194-1,Colorectal Neoplasms,yes,1003,1304
hsa-mir-194-2,Colorectal Neoplasms,yes,1004,1304
hsa-mir-375,Head and Neck Neoplasms,yes,1141,1614
hsa-mir-7-2,Glioblastoma,yes,1263,1301
hsa-mir-7-3,Glioblastoma,yes,1264,1301
hsa-mir-494,Gastrointestinal Neoplasms,yes,1185,1346
hsa-mir-125b-1,Huntington Disease,yes,915,1355
hsa-mir-125b-2,Huntington Disease,yes,916,1355
hsa-mir-146a,Huntington Disease,yes,960,1355
hsa-mir-150,Huntington Disease,yes,965,1355
hsa-mir-214,Huntington Disease,yes,1040,1355
hsa-mir-375,"Carcinoma, Hepatocellular",yes,1141,1310
hsa-mir-493,Urinary Bladder Neoplasms,yes,1184,1306
hsa-mir-1-1,Prostatic Neoplasms,yes,876,1339
hsa-mir-1-2,Prostatic Neoplasms,yes,877,1339
hsa-mir-133a-1,Prostatic Neoplasms,yes,939,1339
hsa-mir-133a-2,Prostatic Neoplasms,yes,940,1339
hsa-mir-21,Colonic Neoplasms,yes,1036,1336
hsa-mir-25,Ovarian Neoplasms,yes,1061,1309
hsa-mir-124-1,Breast Neoplasms,yes,904,1303
hsa-mir-124-2,Breast Neoplasms,yes,905,1303
hsa-mir-124-3,Breast Neoplasms,yes,906,1303
hsa-mir-31,Glioma,yes,1096,1322
hsa-mir-199a-1,"Carcinoma, Renal Cell",yes,1014,1324
hsa-mir-520e,"Carcinoma, Hepatocellular",yes,1214,1310
hsa-mir-19a,"Arthritis, Rheumatoid",yes,1017,1423
hsa-mir-19b-1,"Arthritis, Rheumatoid",yes,1019,1423
hsa-mir-19b-2,"Arthritis, Rheumatoid",yes,1020,1423
hsa-mir-206,Laryngeal Neoplasms,yes,1030,1415
hsa-mir-34b,Breast Neoplasms,yes,1127,1303
hsa-mir-17,"Lymphoma, Mantle-Cell",yes,977,1430
hsa-mir-18a,"Lymphoma, Mantle-Cell",yes,994,1430
hsa-mir-19a,"Lymphoma, Mantle-Cell",yes,1017,1430
hsa-mir-19b-1,"Lymphoma, Mantle-Cell",yes,1019,1430
hsa-mir-20a,"Lymphoma, Mantle-Cell",yes,1034,1430
hsa-mir-92a-1,"Lymphoma, Mantle-Cell",yes,1283,1430
hsa-mir-378a,Cardiovascular Diseases,yes,1146,1377
